To,Direction,Lodigion
clk,Input,PIN_18
start,Input,PIN_61
rst,Input,PIN_124
sw[0],Input,PIN_134
sw[1],Input,PIN_133
sw[2],Input,PIN_132
sw[3],Input,PIN_131
sw[4],Input,PIN_130
sw[5],Input,PIN_129
sw[6],Input,PIN_127
sw[7],Input,PIN_125
beep,Output,PIN_60
seg[7],Output,PIN_62
seg[6],Output,PIN_59
seg[5],Output,PIN_58
seg[4],Output,PIN_57
seg[3],Output,PIN_55
seg[2],Output,PIN_53
seg[1],Output,PIN_52
seg[0],Output,PIN_51
dig[7],Output,PIN_31
dig[6],Output,PIN_30
dig[5],Output,PIN_70
dig[4],Output,PIN_69
dig[3],Output,PIN_68
dig[2],Output,PIN_67
dig[1],Output,PIN_66
dig[0],Output,PIN_63
led[15],Output,PIN_137
led[14],Output,PIN_138
led[13],Output,PIN_139
led[12],Output,PIN_140
led[11],Output,PIN_141
led[10],Output,PIN_142
led[9],Output,PIN_143
led[8],Output,PIN_144
led[7],Output,PIN_73
led[6],Output,PIN_74
led[5],Output,PIN_75
led[4],Output,PIN_76
led[3],Output,PIN_77
led[2],Output,PIN_78
led[1],Output,PIN_79
led[0],Output,PIN_80
colg[7],Output,PIN_45
colg[6],Output,PIN_44
colg[5],Output,PIN_43
colg[4],Output,PIN_42
colg[3],Output,PIN_41
colg[2],Output,PIN_40
colg[1],Output,PIN_39
colg[0],Output,PIN_38
colr[7],Output,PIN_22
colr[6],Output,PIN_21
colr[5],Output,PIN_16
colr[4],Output,PIN_15
colr[3],Output,PIN_14
colr[2],Output,PIN_13
colr[1],Output,PIN_12
colr[0],Output,PIN_11
row[7],Output,PIN_8
row[6],Output,PIN_7
row[5],Output,PIN_6
row[4],Output,PIN_5
row[3],Output,PIN_4
row[2],Output,PIN_3
row[1],Output,PIN_2
row[0],Output,PIN_1
