# Copyright (C) 1991-2009 Altera Corporation,,,,,,
# Your use of Altera Corporation's design tools, logic functions ,,,,,
# and other software and tools, and its AMPP partner logic ,,,,,
# functions, and any output files from any of the foregoing ,,,,,
# (including device programming or simulation files), and any ,,,,,
# associated documentation or information are expressly subject ,,,,,,
# to the terms and conditions of the Altera Program License ,,,,,,
# Subscription Agreement, Altera MegaCore Function License ,,,,,
# Agreement, or other applicable license agreement, including, ,,,
# without limitation, that your use is for the sole purpose of ,,,,,
# programming logic devices manufactured by Altera and sold by ,,,,,,
# Altera or its authorized distributors.  Please refer to the ,,,,,,
# applicable agreement for further details.,,,,,,
,,,,,,
# Quartus II Version 9.1 Build 222 10/21/2009 SJ Full Version,,,,,,
# File: D:\EDA\dz_show\dz_show.csv,,,,,,
# Generated on: Wed Nov 30 22:44:10 2022,,,,,,
,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.,,,,,,
,,,,,,
To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
clk,Input,PIN_18,1,,,
colg[7],Output,PIN_45,4,,,
colg[6],Output,PIN_44,4,,,
colg[5],Output,PIN_43,4,,,
colg[4],Output,PIN_42,4,,,
colg[3],Output,PIN_41,4,,,
colg[2],Output,PIN_40,4,,,
colg[1],Output,PIN_39,4,,,
colg[0],Output,PIN_38,4,,,
colr[7],Output,PIN_22,1,,,
colr[6],Output,PIN_21,1,,,
colr[5],Output,PIN_16,1,,,
colr[4],Output,PIN_15,1,,,
colr[3],Output,PIN_14,1,,,
colr[2],Output,PIN_13,1,,,
colr[1],Output,PIN_12,1,,,
colr[0],Output,PIN_11,1,,,
row[7],Output,PIN_1,1,,,
row[6],Output,PIN_2,1,,,
row[5],Output,PIN_3,1,,,
row[4],Output,PIN_4,1,,,
row[3],Output,PIN_5,1,,,
row[2],Output,PIN_6,1,,,
row[1],Output,PIN_7,1,,,
row[0],Output,PIN_8,1,,,
rst,Input,PIN_124,2,,,
,Unknown,PIN_9,1,,,
,Unknown,PIN_10,,,,
,Unknown,PIN_17,,,,
,Unknown,PIN_19,,,,
,Unknown,PIN_20,1,,,
,Unknown,PIN_23,1,,,
,Unknown,PIN_24,1,,,
,Unknown,PIN_25,1,,,
,Unknown,PIN_26,,,,
,Unknown,PIN_27,1,,,
,Unknown,PIN_28,1,,,
,Unknown,PIN_29,1,,,
,Unknown,PIN_30,1,,,
,Unknown,PIN_31,1,,,
,Unknown,PIN_32,1,,,
,Unknown,PIN_33,1,,,
,Unknown,PIN_34,1,,,
,Unknown,PIN_35,1,,,
,Unknown,PIN_36,1,,,
,Unknown,PIN_37,4,,,
,Unknown,PIN_46,4,,,
,Unknown,PIN_47,,,,
,Unknown,PIN_48,4,,,
,Unknown,PIN_49,4,,,
,Unknown,PIN_50,4,,,
,Unknown,PIN_51,4,,,
,Unknown,PIN_52,4,,,
,Unknown,PIN_53,4,,,
,Unknown,PIN_54,,,,
,Unknown,PIN_55,4,,,
,Unknown,PIN_56,,,,
,Unknown,PIN_57,4,,,
,Unknown,PIN_58,4,,,
,Unknown,PIN_59,4,,,
,Unknown,PIN_60,,,,
,Unknown,PIN_62,4,,,
,Unknown,PIN_63,4,,,
,Unknown,PIN_64,,,,
,Unknown,PIN_65,,,,
,Unknown,PIN_66,4,,,
,Unknown,PIN_67,4,,,
,Unknown,PIN_68,4,,,
,Unknown,PIN_69,4,,,
,Unknown,PIN_70,4,,,
,Unknown,PIN_71,4,,,
,Unknown,PIN_72,4,,,
,Unknown,PIN_73,,,,
,Unknown,PIN_74,3,,,
,Unknown,PIN_75,3,,,
,Unknown,PIN_76,3,,,
,Unknown,PIN_77,3,,,
,Unknown,PIN_78,3,,,
,Unknown,PIN_79,3,,,
,Unknown,PIN_80,3,,,
,Unknown,PIN_81,3,,,
,Unknown,PIN_82,3,,,
,Unknown,PIN_83,,,,
,Unknown,PIN_84,3,,,
,Unknown,PIN_85,3,,,
,Unknown,PIN_86,3,,,
,Unknown,PIN_87,3,,,
,Unknown,PIN_88,3,,,
,Unknown,PIN_89,3,,,
,Unknown,PIN_90,,,,
,Unknown,PIN_91,3,,,
,Unknown,PIN_92,,,,
,Unknown,PIN_93,3,,,
,Unknown,PIN_94,3,,,
,Unknown,PIN_95,3,,,
